BENIDORM CHESS OPEN “B” (U2000),,,,,,,,,
"Benidorm, Alicante, Spain, 2021-12-04 - 2021-12-12",,,,,,,,,
,,,,,,,,,
Ranking inicial   ,,,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,Nac.,FIDE ID,ID Nac.,Origen/Club,Info
104,,"Vinogradov, Sergey V.",RUS,1552,0,54194407,0,,
105,,Raghava Madhavan,IND,1546,0,25076060,0,,
106,,"Flo, Steinar",NOR,1544,0,1515730,0,,
107,,"Tuimil Martinez, Ricardo",ESP,1541,1952,2278103,3266,,
108,,"Pascual Fuertes, Jose Enrique",ESP,1538,0,2290979,8973,,
109,,Sarveshwaran V,IND,1536,0,25699016,0,,
110,,Swapna C N,IND,1536,0,45050449,0,,
111,,"Pedchenko, Serhiy",ESP,1535,0,24523330,0,,
112,,"Pedchenko, Serhiy",ESP,1535,0,24523330,0,,
113,,"Garcia Martin, Juan Manuel",ESP,1527,0,2221780,2829,,
114,,"Altin, Halis",TUR,1526,0,6309330,0,,
115,,"Mottang, Harald",NOR,1526,0,1508423,0,,
116,,Srihari N,IND,1523,0,5059984,0,,
117,,"Jensen, Michael Eckmann",NOR,1522,0,1518984,0,,
118,,"Fernandez Cabrero, Fernando",ESP,1520,0,32025971,0,,
119,,"Garcia Vives, Joan",ESP,1505,0,54703549,37509,,
120,,"Herce Jimenez, Angel",ESP,1505,0,32048815,26026,,
121,,"Agullo Valcarcel, Carlos",ESP,1500,0,2296128,13039,,
122,,"Berenguer Sanchis, Juan Vicente",ESP,1479,0,54562368,36730,,
123,,"Conde Negro, Francisco Javier",ESP,1467,0,2261790,5439,,
124,,"Verhoeven, Rudiger",ESP,1449,0,24563013,31192,,
125,,"Bravo Perez, Miguel",ESP,1447,0,24553557,30600,,
126,,"Castillo Hidalgo, Alejandro",ESP,1442,0,54587735,36557,,
127,,"Bozkurt, Celal",TUR,1439,0,44541147,0,,
128,,"Gonzalez Caceres, Lauren",ESP,1416,1972,54718228,37862,,
129,,"Nardi, Hector",ARG,1407,0,131318,0,,
130,,"Valenzuela Garcia, Alberto",ESP,1407,0,2245213,24681,,
131,,"Macia Senent, Joaquin",ESP,1394,0,22273042,12675,,
132,,"Morata Perez, Jose",ESP,1393,0,24521612,30727,,
133,,"Marin Giner, Gustavo",ESP,1375,0,54745411,39870,,
134,,"Rodriguez Manyas, Miguel",ESP,1368,0,24508500,29035,,
135,,"Albuixech Soler, Sergi",ESP,1367,0,24522678,30574,,
136,,"Ilinca Ilinca, Filip Antonio",ESP,1362,0,54775167,40198,,
137,,"Staneke, Ronald",ESP,1336,0,54524865,33764,,
138,,"Nuevo Cabezas, Antonio",ESP,1314,0,24523879,30221,,
139,,"Dogan, Halit",TUR,1311,0,6349722,0,,
140,,"Mateeva, Yana",BUL,1266,0,2935600,0,,
141,,"Martinez Herranz, Francisco Jose",ESP,1261,0,24598143,32842,,
142,,"Mas Ripoll, Vicente",ESP,1238,0,24595829,32718,,
143,,"Hladiy, Mark",ESP,1236,0,54705380,37141,,
144,,"Jaglinski, Aleksander",ESP,1157,0,54586674,39724,,
145,,"Galletero Monsalve, Juan Fco",ESP,1152,0,22281398,27844,,
146,,"Llopis Cano, Marilo",ESP,1133,0,32099029,30072,,
147,,"Polikarpov, Anton",RUS,1105,0,24296562,0,,
148,,"Calabuig Negre, Rafael",ESP,1050,0,24555088,34861,,
149,,Akshobhya Damodar Katti,IND,0,0,33378703,0,,
150,,"Alieksieiev, Oleksii",UKR,0,0,34613846,0,,
151,,"Becares Rodriguez, Antonio",ESP,0,0,9999999,0,,
152,,"Davison, Zachary",ESP,0,0,9999998,0,,
153,,"Galantino, Federica",ESP,0,0,54788226,0,,
154,,"Maiza, Gabi",ESP,0,0,9999997,0,,
155,,"Navarro Juan, Isaac",ESP,0,0,54785057,0,,
156,,"Nechifor, David",ESP,0,0,54788455,0,,
157,,"Perez Solanas, Hugo",ESP,0,0,54783526,0,,
158,,"Rico Garcia, Carlos",ESP,0,0,24515132,0,,
159,,"Sirtautas, Indrius",LTU,0,0,12818259,0,,
160,,"Tutkus, Lukas",LTU,0,0,12823848,0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BENIDORM CHESS OPEN “B” (U2000) - https://info64.org/benidorm-chess-open-b-u2000,,,,,,,,,
